거래일,거래시간,지역,연료원,전력거래량(MWh)
2025-01-02,1,강원도,태양광,0.242323
2025-01-02,2,강원도,태양광,0.10962
2025-01-02,3,강원도,태양광,0.1464
2025-01-02,4,강원도,태양광,0.11876
2025-01-02,5,강원도,태양광,0.04798
2025-01-02,6,강원도,태양광,0
2025-01-02,7,강원도,태양광,0
2025-01-02,8,강원도,태양광,0.531615
2025-01-02,9,강원도,태양광,33.024998
2025-01-02,10,강원도,태양광,123.413
2025-01-02,11,강원도,태양광,224.936758
2025-01-02,12,강원도,태양광,308.272009
2025-01-02,13,강원도,태양광,338.586698
2025-01-02,14,강원도,태양광,331.293126
2025-01-02,15,강원도,태양광,277.867934
2025-01-02,16,강원도,태양광,180.684179
2025-01-02,17,강원도,태양광,79.305157
2025-01-02,18,강원도,태양광,47.663862
2025-01-02,19,강원도,태양광,62.14678
2025-01-02,20,강원도,태양광,62.337542
2025-01-02,21,강원도,태양광,36.556545
2025-01-02,22,강원도,태양광,14.909295
2025-01-02,23,강원도,태양광,7.748655
2025-01-02,24,강원도,태양광,3.404137
2025-01-02,1,경기도,태양광,0
2025-01-02,2,경기도,태양광,0
2025-01-02,3,경기도,태양광,0
2025-01-02,4,경기도,태양광,0
2025-01-02,5,경기도,태양광,0
2025-01-02,6,경기도,태양광,0
2025-01-02,7,경기도,태양광,0
2025-01-02,8,경기도,태양광,0.172747
2025-01-02,9,경기도,태양광,16.507971
2025-01-02,10,경기도,태양광,74.754101
2025-01-02,11,경기도,태양광,148.561862
2025-01-02,12,경기도,태양광,200.050629
2025-01-02,13,경기도,태양광,222.471955
2025-01-02,14,경기도,태양광,217.676362
2025-01-02,15,경기도,태양광,183.466968
2025-01-02,16,경기도,태양광,118.372505
2025-01-02,17,경기도,태양광,46.762412
2025-01-02,18,경기도,태양광,17.893201
2025-01-02,19,경기도,태양광,18.834773
2025-01-02,20,경기도,태양광,16.208599
2025-01-02,21,경기도,태양광,10.38459
2025-01-02,22,경기도,태양광,3.914999
2025-01-02,23,경기도,태양광,1.123628
2025-01-02,24,경기도,태양광,0.484236
2025-01-02,1,경상남도,태양광,0.133296
2025-01-02,2,경상남도,태양광,0.006
2025-01-02,3,경상남도,태양광,0
2025-01-02,4,경상남도,태양광,0
2025-01-02,5,경상남도,태양광,0
2025-01-02,6,경상남도,태양광,0
2025-01-02,7,경상남도,태양광,0
2025-01-02,8,경상남도,태양광,1.2355
2025-01-02,9,경상남도,태양광,38.09563
2025-01-02,10,경상남도,태양광,136.072093
2025-01-02,11,경상남도,태양광,227.590871
2025-01-02,12,경상남도,태양광,286.885431
2025-01-02,13,경상남도,태양광,309.166629
2025-01-02,14,경상남도,태양광,305.893905
2025-01-02,15,경상남도,태양광,259.358361
2025-01-02,16,경상남도,태양광,165.706814
2025-01-02,17,경상남도,태양광,66.961947
2025-01-02,18,경상남도,태양광,26.013734
2025-01-02,19,경상남도,태양광,29.163026
2025-01-02,20,경상남도,태양광,25.143584
2025-01-02,21,경상남도,태양광,17.16515
2025-01-02,22,경상남도,태양광,9.540452
2025-01-02,23,경상남도,태양광,3.095493
2025-01-02,24,경상남도,태양광,0.906872
2025-01-02,1,경상북도,태양광,0.08112
2025-01-02,2,경상북도,태양광,0.24992
2025-01-02,3,경상북도,태양광,0.2966
2025-01-02,4,경상북도,태양광,0.2964
2025-01-02,5,경상북도,태양광,0.1808
2025-01-02,6,경상북도,태양광,0.0042
2025-01-02,7,경상북도,태양광,2.00E-05
2025-01-02,8,경상북도,태양광,1.257822
2025-01-02,9,경상북도,태양광,50.200649
2025-01-02,10,경상북도,태양광,183.725541
2025-01-02,11,경상북도,태양광,297.665564
2025-01-02,12,경상북도,태양광,382.041684
2025-01-02,13,경상북도,태양광,423.385266
2025-01-02,14,경상북도,태양광,415.279969
2025-01-02,15,경상북도,태양광,359.775569
2025-01-02,16,경상북도,태양광,237.641525
2025-01-02,17,경상북도,태양광,96.290968
2025-01-02,18,경상북도,태양광,39.056499
2025-01-02,19,경상북도,태양광,63.148592
2025-01-02,20,경상북도,태양광,60.835646
2025-01-02,21,경상북도,태양광,44.051987
2025-01-02,22,경상북도,태양광,25.845559
2025-01-02,23,경상북도,태양광,8.278098
2025-01-02,24,경상북도,태양광,1.137639
2025-01-02,1,광주시,태양광,0
2025-01-02,2,광주시,태양광,0.0024
2025-01-02,3,광주시,태양광,0.00152
2025-01-02,4,광주시,태양광,0
2025-01-02,5,광주시,태양광,0
2025-01-02,6,광주시,태양광,0
2025-01-02,7,광주시,태양광,0.0014
2025-01-02,8,광주시,태양광,0.029704
2025-01-02,9,광주시,태양광,3.234641
2025-01-02,10,광주시,태양광,13.445287
2025-01-02,11,광주시,태양광,26.25492
2025-01-02,12,광주시,태양광,35.448357
2025-01-02,13,광주시,태양광,39.830086
2025-01-02,14,광주시,태양광,39.517573
2025-01-02,15,광주시,태양광,31.966172
2025-01-02,16,광주시,태양광,19.008092
2025-01-02,17,광주시,태양광,8.619563
2025-01-02,18,광주시,태양광,2.41408
2025-01-02,19,광주시,태양광,2.313928
2025-01-02,20,광주시,태양광,1.67934
2025-01-02,21,광주시,태양광,0.82768
2025-01-02,22,광주시,태양광,0.677
2025-01-02,23,광주시,태양광,0.39668
2025-01-02,24,광주시,태양광,0.04224
2025-01-02,1,대구시,태양광,0
2025-01-02,2,대구시,태양광,0
2025-01-02,3,대구시,태양광,0
2025-01-02,4,대구시,태양광,0
2025-01-02,5,대구시,태양광,0
2025-01-02,6,대구시,태양광,0
2025-01-02,7,대구시,태양광,0
2025-01-02,8,대구시,태양광,0.1322
2025-01-02,9,대구시,태양광,7.131203
2025-01-02,10,대구시,태양광,24.743361
2025-01-02,11,대구시,태양광,40.629669
2025-01-02,12,대구시,태양광,49.499174
2025-01-02,13,대구시,태양광,55.011472
2025-01-02,14,대구시,태양광,54.073862
2025-01-02,15,대구시,태양광,44.790149
2025-01-02,16,대구시,태양광,27.858971
2025-01-02,17,대구시,태양광,12.965
2025-01-02,18,대구시,태양광,5.276159
2025-01-02,19,대구시,태양광,6.018364
2025-01-02,20,대구시,태양광,4.029896
2025-01-02,21,대구시,태양광,2.572524
2025-01-02,22,대구시,태양광,1.0306
2025-01-02,23,대구시,태양광,0.11912
2025-01-02,24,대구시,태양광,0
2025-01-02,1,대전시,태양광,0
2025-01-02,2,대전시,태양광,0
2025-01-02,3,대전시,태양광,0
2025-01-02,4,대전시,태양광,0
2025-01-02,5,대전시,태양광,0
2025-01-02,6,대전시,태양광,0
2025-01-02,7,대전시,태양광,0
2025-01-02,8,대전시,태양광,0.00156
2025-01-02,9,대전시,태양광,0.561179
2025-01-02,10,대전시,태양광,2.37667
2025-01-02,11,대전시,태양광,6.269546
2025-01-02,12,대전시,태양광,8.479685
2025-01-02,13,대전시,태양광,9.299799
2025-01-02,14,대전시,태양광,8.937514
2025-01-02,15,대전시,태양광,7.449871
2025-01-02,16,대전시,태양광,4.625389
2025-01-02,17,대전시,태양광,1.440343
2025-01-02,18,대전시,태양광,0.053461
2025-01-02,19,대전시,태양광,0
2025-01-02,20,대전시,태양광,0
2025-01-02,21,대전시,태양광,0
2025-01-02,22,대전시,태양광,0
2025-01-02,23,대전시,태양광,0
2025-01-02,24,대전시,태양광,0
2025-01-02,1,부산시,태양광,0
2025-01-02,2,부산시,태양광,0
2025-01-02,3,부산시,태양광,0
2025-01-02,4,부산시,태양광,0
2025-01-02,5,부산시,태양광,0
2025-01-02,6,부산시,태양광,0
2025-01-02,7,부산시,태양광,0
2025-01-02,8,부산시,태양광,0.40372
2025-01-02,9,부산시,태양광,10.292321
2025-01-02,10,부산시,태양광,34.056827
2025-01-02,11,부산시,태양광,54.925552
2025-01-02,12,부산시,태양광,67.757143
2025-01-02,13,부산시,태양광,73.29884
2025-01-02,14,부산시,태양광,68.538254
2025-01-02,15,부산시,태양광,55.644664
2025-01-02,16,부산시,태양광,34.941987
2025-01-02,17,부산시,태양광,11.901045
2025-01-02,18,부산시,태양광,3.006956
2025-01-02,19,부산시,태양광,3.582512
2025-01-02,20,부산시,태양광,3.403312
2025-01-02,21,부산시,태양광,2.619888
2025-01-02,22,부산시,태양광,0.558168
2025-01-02,23,부산시,태양광,0.00192
2025-01-02,24,부산시,태양광,0
2025-01-02,1,서울시,태양광,0
2025-01-02,2,서울시,태양광,0
2025-01-02,3,서울시,태양광,0
2025-01-02,4,서울시,태양광,0
2025-01-02,5,서울시,태양광,0
2025-01-02,6,서울시,태양광,0
2025-01-02,7,서울시,태양광,0
2025-01-02,8,서울시,태양광,0.00774
2025-01-02,9,서울시,태양광,0.927768
2025-01-02,10,서울시,태양광,3.377921
2025-01-02,11,서울시,태양광,6.835843
2025-01-02,12,서울시,태양광,9.438109
2025-01-02,13,서울시,태양광,10.327536
2025-01-02,14,서울시,태양광,10.074639
2025-01-02,15,서울시,태양광,8.653616
2025-01-02,16,서울시,태양광,5.632064
2025-01-02,17,서울시,태양광,1.581149
2025-01-02,18,서울시,태양광,0.067628
2025-01-02,19,서울시,태양광,0.04848
2025-01-02,20,서울시,태양광,0.1106
2025-01-02,21,서울시,태양광,0.11052
2025-01-02,22,서울시,태양광,0.10492
2025-01-02,23,서울시,태양광,0.05772
2025-01-02,24,서울시,태양광,0
2025-01-02,1,세종시,태양광,0
2025-01-02,2,세종시,태양광,0
2025-01-02,3,세종시,태양광,0
